gradyr,Academic Plan,Plan Full Descr,job,role,employer,profession,industry,id
2018,U-HIST-AB,History (AB),Obstetrics and Gynecology Resident Physician at SUNY Upstate Medical University Hospital,Obstetrics and Gynecology Resident Physician,SUNY Upstate Medical University Hospital,Physician,Medicine,252
2018,U-HIST-AB,History (AB),,,,,,253
2018,U-HIST-AB,History (AB),Associate Attorney at Fox Rothschild LLP,Associate Attorney,Fox Rothschild LLP,Attorney,Law,254
2018,U-HIST-AB,History (AB),Investment Banking Associate at Citi,Investment Banking Associate,Citi,Associate,Finance,255
2018,U-HIST-AB2,History (AB2),Private Equity and Hedge Fund Intern at Jordan-Blanchard Capital,Private Equity and Hedge Fund Intern,Jordan-Blanchard Capital,Intern,Finance,256
2018,U-HIST-AB,History (AB),Regional Sales Director at BioTissue Occular,Regional Sales Director,BioTissue Occular,Sales Director,Healthcare,257
2018,U-HIST-AB,History (AB),Professional Baseball Player for the Tampa Bay Rays,Professional Baseball Player,Tampa Bay Rays,Athlete,Sports,258
2018,U-HIST-AB,History (AB),"Research Analyst, Development, NewYork-Presbyterian Hospital",Research Analyst,New York-Presbyterian Hospital,Analyst,Healthcare,259
2018,U-HIST-AB,History (AB),Trader at PEAK6,Trader,PEAK6,Trader,Finance,260
2018,U-HIST-AB2,History (AB2),,,,,,261
2018,U-HIST-AB,History (AB),Professional Baseball Pitcher,Professional Baseball Pitcher,,Athlete,Sports,262
2018,U-HIST-AB2,History (AB2),Judicial Law Clerk at United States Court of Appeals for the Ninth Circuit ,Judicial Law Clerk,United States Court of Appeals for the Ninth Circuit ,Law Clerk,Government,263
2018,U-HIST-AB,History (AB),J.D. Candidate at Sandra Day O'Connor College of Law,J.D. Candidate,Sandra Day O'Connor College of Law,Law Student,Law,264
2018,U-HIST-AB,History (AB),"Associate at Epstein, Becker, Green LLP",Associate,"Epstein, Becker, Green LLP",Attorney,Law,265
2018,U-HIST-AB,History (AB),,,,,,266
2018,U-HIST-AB2,History (AB2),"Associate Manager, Business Strategy Transformation at Sia Partners","Associate Manager, Business Strategy Transformation",Sia Partners,Manager,Consulting,267
2018,U-HIST-AB,History (AB),JD Candidate at University of Virginia School of Law,JD Candidate,University of Virginia School of Law,Law Student,Law,268
2018,U-HIST-AB2,History (AB2),Associate at Larson LLP,Associate,Larson LLP,Attorney,Law,269
2018,U-HIST-AB,History (AB),Product at Dragonfly,Product,Dragonfly,Product Manager,Technology,270
2018,U-HIST-AB,History (AB),,,,,,271
2018,U-HIST-AB,History (AB),New Home Consultant at Lennar,New Home Consultant,Lennar,Sales Consultant,Real Estate,272
2018,U-HIST-AB,History (AB),,,,,,273
2018,U-HIST-AB2,History (AB2),Senior Analyst at ICONIQ Capital,Senior Analyst,ICONIQ Capital,Analyst,Finance,274
2018,U-HIST-AB,History (AB),Clinical Mental Health Counseling Student at the University of Memphis,Clinical Mental Health Counseling Student,the University of Memphis,Graduate Student,Healthcare,275
2018,U-HIST-AB,History (AB),SSP Candidate at Georgetown University School of Continuing Studies,SSP Candidate,Georgetown University School of Continuing Studies,Graduate Student,Academia,276
2018,U-HIST-AB2,History (AB2),,,,,,277
2018,U-HIST-AB2,History (AB2),Business Operations at Valon,Business Operations,Valon,Operations Associate,Fintech,278
2018,U-HIST-AB,History (AB),,,,,,279
2018,U-HIST-AB,History (AB),Media Operations at Bankless,Media Operations,Bankless,Media Operations,Media,280
2018,U-HIST-AB,History (AB),ETF Product Management at Capital Group,ETF Product Management,Capital Group,Product Manager,Finance,281
2018,U-HIST-AB,History (AB),,,,,,282
2017,U-HIST-AB,History (AB),Sr. Associate Sales Strategy at CoachHub,Sr. Associate Sales Strategy,CoachHub,Strategy Associate,HR Tech,283
2017,U-HIST-AB,History (AB),,,,,,284
2017,U-HIST-AB,History (AB),Renewable Origination - Senior Manager II at Walmart,Renewable Origination - Senior Manager II,Walmart,Manager,Retail,285
2017,U-HIST-AB,History (AB),Chief of Staff at Starwood Capital,Chief of Staff,Starwood Capital,Chief of Staff,Finance,286
2017,U-HIST-AB,History (AB),"Associate Broker, Project/Property Manager at Gallimore & Associates Real Estate","Associate Broker, Project/Property Manager",Gallimore & Associates Real Estate,Broker,Real Estate,287
2017,U-HIST-AB,History (AB),Client Success ManagerClient Success Manager at Rightway ,Client Success ManagerClient Success Manager,Rightway ,Client Success Manager,HealthTEch,288
2017,U-HIST-AB,History (AB),,,,,,289
2017,U-HIST-AB2,History (AB2),History PhD Student at Stanford,History PhD Student,Stanford,Graduate Student,Academia,290
2017,U-HIST-AB,History (AB),Manager at Alpha FMC - North America,Manager,Alpha FMC - North America,Manager,Consulting,291
2017,U-HIST-AB,History (AB),Sales Engineering at Pryon,Sales Engineering,Pryon,Sales Engineer,Technology,292
2017,U-HIST-AB,History (AB),Harvard Law Grad & Judicial Law Clerk for US Courts of Appeals,Judicial Law Clerk,US Courts of Appeals,Law Clerk,Government,293
2017,U-HIST-AB,History (AB),Client Experience Manager at Hangman,Client Experience Manager,Hangman,CX Manager,Technology,294
2017,U-HIST-AB2,History (AB2),MBA Candidate at UNC Kenan-Flagler Business School,MBA Candidate,UNC Kenan-Flagler Business School,Graduate Student,Business,295
2017,U-HIST-AB,History (AB),MBA Candidate at Harvard Business School,MBA Candidate,Harvard Business School,Graduate Student,Business,296
2017,U-HIST-AB2,History (AB2),Consulting Manager at Attain Partners,Consulting Manager,Attain Partners,Consulting Manager,Consulting,297
2017,U-HIST-AB,History (AB),Renewable Energy Asset Management at Clearway Energy Group,Renewable Energy Asset Management,Clearway Energy Group,Manager,Energy,298
2017,U-HIST-AB2,History (AB2),Executive Director- Keep Charlotte Beautiful at City of Charlotte,Executive Director- Keep Charlotte Beautiful,City of Charlotte,Executive Director,Nonprofit,299
2017,U-HIST-AB2,History (AB2),Attorney,Attorney,,Attorney,Law,300
2017,U-HIST-AB,History (AB),,,,,,301
2017,U-HIST-AB,History (AB),Litigation Associate at Credit Law Report Group,Litigation Associate,Credit Law Report Group,Associate,Law,302
2017,U-HIST-AB,History (AB),J.D. at Loyola Law School,J.D. Candidate,Loyola Law School,Law Student,Law,303
2017,U-HIST-AB,History (AB),,,,,,304
2017,U-HIST-AB,History (AB),Allied Media Conference Program Manager,Program Manager,Allied Media Conference,Program Manager,Media,305
2017,U-HIST-AB,History (AB),Project Leader at Boston Consulting Group (BCG),Project Leader,Boston Consulting Group (BCG),Project Leader,Consulting,306
2017,U-HIST-AB,History (AB),Planner II at Alta Planning + Design,Planner II,Alta Planning + Design,Planner,Urban Planning,307
2017,U-HIST-AB2,History (AB2),National Security Advisor at United States House of Representatives,National Security Advisor,United States House of Representatives,National Security Advisor,Government,308
2017,U-HIST-AB2,History (AB2),Investment Associate at Durable Capital Partners,Investment Associate,Durable Capital Partners,Associate,Finance,309
2017,U-HIST-AB,History (AB),,,,,,310
2017,U-HIST-AB,History (AB),Director of Data & Outreach at JLK Political Strategies,Director of Data & Outreach,JLK Political Strategies,Director,Political Communications,311
2017,U-HIST-AB2,History (AB2),"Ph.D Candidate, Africana Studies at Brown University","Ph.D Candidate, Africana Studies",Brown University,Graduate Student,Academia,312
2017,U-HIST-AB,History (AB),Doctoral Candidate in History at the University of Michigan,Doctoral Candidate in History,the University of Michigan,Graduate Student,Academia,313
2017,U-HIST-AB2,History (AB2),Master’s Student at NYU,Master’s Student,NYU,Graduate Student,Academia,314
2017,U-HIST-AB,History (AB),,,,,,315
2017,U-HIST-AB,History (AB),"Director, Film Content Strategy at Universal Pictures","Director, Film Content Strategy",Universal Pictures,Director,Entertainment,316
2017,U-HIST-AB,History (AB),Multimedia Producer at The Boston Globe,Multimedia Producer,The Boston Globe,Producer,Media,317
2017,U-HIST-AB,History (AB),Notre Dame MBA Candidate,MBA Candidate,Notre Dame,Graduate Student,Business,318
2017,U-HIST-AB2,History (AB2),Associate at Focus Advisors,Associate,Focus Advisors,Associate,Finance,319
2017,U-HIST-AB2,History (AB2),Litigator at Smith Anderson,Litigator,Smith Anderson,Attorney,Law,320
2017,U-HIST-AB2,History (AB2),Director of Leadership Program at Teamshares,Director of Leadership Program,Teamshares,Director,Business Services,321
2017,U-HIST-AB,History (AB),Digital Services Analyst at Center on Budget and Policy Priorities,Digital Services Analyst,Center on Budget and Policy Priorities,Analyst,Public Policy,322
2017,U-HIST-AB2,History (AB2),Vice President of Expansion at Groups Recover Together,Vice President of Expansion,Groups Recover Together,Vice President,Healthcare,323
2017,U-HIST-AB,History (AB),Director Of Business Development at Tri Eagle Sales,Director Of Business Development,Tri Eagle Sales,Director,Beverage Distribution,324
2017,U-HIST-AB,History (AB),"BCG Consultant, Harvard MBA",Consultant,BCG,Consultant,Consulting,325
2016,U-HIST-AB,History (AB),Resident Physician at Ann & Robert H. Lurie Children's Hospital of Chicago,Resident Physician,Ann & Robert H. Lurie Children's Hospital of Chicago,Physician,Medicine,326
2016,U-HIST-AB2,History (AB2),Associate at Cooley LLP,Associate,Cooley LLP,Attorney,Law,327
2016,U-HIST-AB2,History (AB2),"Associate Attorney at Brooks, Pierce, McLendon, Humphrey & Leonard, LLP",Associate Attorney,"Brooks, Pierce, McLendon, Humphrey & Leonard, LLP",Attorney,Law,328
2016,U-HIST-AB,History (AB),Staff Writer at Sports Illustrated,Staff Writer,Sports Illustrated,Writer,Media,329
2016,U-HIST-AB,History (AB),"TEAM8 Sport's Agent (working with Roger Federer, Coco Gauff and Ben Shelton)",Sports Agent,,Agent,Sports,330
2016,U-HIST-AB2,History (AB2),Account Strategist at Google,Account Strategist,Google,Account Strategist,Technology,331
2016,U-HIST-AB,History (AB),Managing Attorney at CadeMarq Law PLLC ,Managing Attorney,CadeMarq Law PLLC ,Attorney,Law,332
2016,U-HIST-AB,History (AB),Senior Investment Associate at Hilltop Credit Partners,Senior Investment Associate,Hilltop Credit Partners,Associate,Finance,333
2016,U-HIST-AB,History (AB),Corporate Associate at Kirkland & Ellis,Corporate Associate,Kirkland & Ellis,Attorney,Law,334
2016,U-HIST-AB,History (AB),Sales Strategy & Enablement Associate at Tixr,Sales Strategy & Enablement Associate,Tixr,Associate,Technology,335
2016,U-HIST-AB2,History (AB2),Associate — Mergers & Acquisitions and Capital Markets at Vinson & Elkins,Associate — Mergers & Acquisitions and Capital Markets,Vinson & Elkins,Attorney,Law,336
2016,U-HIST-AB,History (AB),Software Engineer,Software Engineer,,Software Engineer,Technology,337
2016,U-HIST-AB,History (AB),Vice President at Rothschild & Co,Vice President,Rothschild & Co,Vice President,Finance,338
2016,U-HIST-AB,History (AB),Client Manager at Chikara Investments LLP,Client Manager,Chikara Investments LLP,Client Manager,Finance,339
2016,U-HIST-AB2,History (AB2),Associate Marketing Manager at PepsiCo,Associate Marketing Manager,PepsiCo,Marketing Manager,Consumer Goods,340
2016,U-HIST-AB2,History (AB2),Film-maker and artist,Film-maker and artist,,Filmmaker,Media,341
2016,U-HIST-AB,History (AB),Associate at Aluko & Oyebode,Associate,Aluko & Oyebode,Attorney,Law,342
2016,U-HIST-AB2,History (AB2),Product Growth at Moss,Product Growth,Moss,Product Manager,Technology,343
2016,U-HIST-AB2,History (AB2),,,,,,344
2016,U-HIST-AB2,History (AB2),Healthcare Investment Banking Vice President at Morgan Stanley,Healthcare Investment Banking Vice President,Morgan Stanley,Vice President,Finance,345
2016,U-HIST-AB,History (AB),,,,,,346
2016,U-HIST-AB,History (AB),"Manager, HCP Education Delivery at Novartis","Manager, HCP Education Delivery",Novartis,Manager,Healthcare,347
2016,U-HIST-AB,History (AB),Assistant Coach for the Boston Celtics,Assistant Coach,Boston Celtics,Coach,Sports,348
2016,U-HIST-AB,History (AB),Senior Designer with Eric Cohler Design,Senior Designer,Eric Cohler,Designer,Design,349
2016,U-HIST-AB,History (AB),Project Manager at NetSuite Customer Success Oracle,Project Manager,NetSuite Customer Success Oracle,Project Manager,Technology,350
2016,U-HIST-AB,History (AB),,,,,,351
2016,U-HIST-AB,History (AB),Technology Transactions Associate at Morrison & Foerster,Technology Transactions Associate,Morrison & Foerster,Attorney,Law,352
2016,U-HIST-AB,History (AB),Operations Lead at LinkedIn,Operations Lead,LinkedIn,Operations Lead,Technology,353
2016,U-HIST-AB2,History (AB2),Associate Attorney at Quinn Emanuel Trial Lawyers,Associate Attorney,Quinn Emanuel Trial Lawyers,Attorney,Law,354
2016,U-HIST-AB2,History (AB2),"Associate Attorney at Weil, Gotshal & Manges LLP",Associate Attorney,"Weil, Gotshal & Manges LLP",Attorney,Law,355
2016,U-HIST-AB,History (AB),"Manager, Finance at Sancerra","Manager, Finance",Sancerra,Manager,Real Estate,356
2016,U-HIST-AB,History (AB),Associate Attorney at Cleary Gottlieb,Associate Attorney,Cleary Gottlieb,Attorney,Law,357
2016,U-HIST-AB,History (AB),"Founder at LH Capital, Venture Capitalist Investor and Attorney",Founder,"LH Capital, Venture Capitalist Investor and Attorney",Attorney,Venture Capital,358
2016,U-HIST-AB,History (AB),"Vice President, Agency Securities Lending Product Manager at Citi","Vice President, Agency Securities Lending Product Manager",Citi,Vice President,Finance,359
2016,U-HIST-AB,History (AB),Personnel Committee Manager at McKinsey & Company,Personnel Committee Manager,McKinsey & Company,Manager,Consulting,360
2016,U-HIST-AB,History (AB),,,,,,361
2016,U-HIST-AB,History (AB),Owner at Mellencamp Whiskey Company,Owner,Mellencamp Whiskey Company,Owner,Beverage Distribution,362
2016,U-HIST-AB,History (AB),,,,,,363
2016,U-HIST-AB,History (AB),Director of Finance at Markham,Director of Finance,Markham,Director,Event Management,364
2016,U-HIST-AB,History (AB),,,,,,365
2016,U-HIST-AB,History (AB),Communications Specialist at Urban Institute,Communications Specialist,Urban Institute,Communications Specialist,Public Policy,366
2016,U-HIST-AB2,History (AB2),Principal at Boston Consulting Group (BCG),Principal,Boston Consulting Group (BCG),Principal,Consulting,367
2016,U-HIST-AB,History (AB),NFL Center for the Chicago Bears,,NFL Center for the Chicago Bears,,Sports,368
2016,U-HIST-AB,History (AB),Vice President at Cameron Holdings Corporation,Vice President,Cameron Holdings Corporation,Vice President,Finance,369
2016,U-HIST-AB2,History (AB2),Chief Of Staff at CoderPad,Chief Of Staff,CoderPad,Chief Of Staff,Technology,370
2016,U-HIST-AB,History (AB),Sales Manager at Lever,Sales Manager,Lever,Sales Manager,Technology,371
2016,U-HIST-AB,History (AB),,,,,,372
2016,U-HIST-AB,History (AB),TV Host and Staff Writer at Swimming World Magazine,TV Host and Staff Writer,Swimming World Magazine,TV Host,Entertainment,373
2016,U-HIST-AB,History (AB),Rhodes Scholar and DPhil Student at Oxford,Rhodes Scholar and DPhil Student,Oxford,Graduate Student,Academia,374
2016,U-HIST-AB,History (AB),Institutional Sales Trading at AB Bernstein,Institutional Sales Trading,AB Bernstein,Trader,Finance,375
2016,U-HIST-AB,History (AB),Vice President at Goldman Sachs,Vice President,Goldman Sachs,Vice President,Finance,376
2016,U-HIST-AB,History (AB),Acquisitions Associate at Skywalker Property Partners,Acquisitions Associate,Skywalker Property Partners,Associate,Real Estate,377
2016,U-HIST-AB2,History (AB2),Podcast Producer at A + E Networks,Podcast Producer,A + E Networks,Producer,Media,378
